,EGF,Eotaxin,FGF-2,FLT3L,FKN,GCSF,GM-CSF,GRO,IFNα2,IFNγ,IL1α,IL1β,IL1Ra/Ra2,IL2,IL3,IL4,IL5,IL6,IL7,IL8,IL9,IL10,IL12-P40,IL12-P70,IL13,IL15,IP10,MCP1,MCP3,MDC,MIP1α,MIP1β,sCD40-L,TGFα,TNFα,TNFβ,VEGF
IL1α,1.0,1.0,0.8089999999999999,0.7150000000000001,0.864,0.961,0.765,1.0,0.6930000000000001,0.906,0.0,0.6,0.648,0.18400000000000005,0.401,0.8049999999999999,0.626,0.87,0.614,0.974,0.481,0.275,0.10699999999999998,0.585,0.862,0.28600000000000003,0.998,1.0,0.632,1.0,0.977,0.885,1.0,0.951,0.947,0.632,0.907
IL1β,1.0,1.0,0.983,0.534,0.996,1.0,0.998,1.0,0.953,1.0,0.6,0.0,0.913,0.504,0.267,0.504,0.09399999999999997,0.973,0.031000000000000028,1.0,0.18700000000000006,0.366,0.523,0.595,0.54,0.35,1.0,1.0,0.92,1.0,1.0,0.999,1.0,0.999,0.999,0.14,1.0
IL1Ra/Ra2,0.911,0.997,0.16700000000000004,0.975,0.245,0.562,0.548,0.915,0.19399999999999995,0.685,0.648,0.913,0.0,0.734,0.897,0.968,0.92,0.5680000000000001,0.921,0.73,0.91,0.8069999999999999,0.7090000000000001,0.821,0.978,0.831,0.959,1.0,0.15500000000000003,1.0,0.895,0.28600000000000003,1.0,0.5449999999999999,0.525,0.924,0.6839999999999999
IL2,1.0,1.0,0.863,0.627,0.917,0.983,0.84,1.0,0.783,0.929,0.18400000000000005,0.504,0.734,0.0,0.348,0.732,0.52,0.897,0.517,0.988,0.41400000000000003,0.278,0.07899999999999996,0.48,0.804,0.20799999999999996,1.0,1.0,0.733,1.0,0.981,0.9359999999999999,1.0,0.971,0.968,0.536,0.9299999999999999
IL3,1.0,1.0,0.98,0.624,0.996,1.0,0.993,1.0,0.944,1.0,0.401,0.267,0.897,0.348,0.0,0.6719999999999999,0.34099999999999997,0.975,0.28700000000000003,1.0,0.09799999999999998,0.17500000000000004,0.32599999999999996,0.654,0.77,0.18100000000000005,1.0,1.0,0.91,1.0,1.0,0.999,1.0,1.0,1.0,0.375,1.0
IL4,1.0,1.0,0.996,0.28400000000000003,1.0,1.0,0.981,1.0,0.978,0.989,0.8049999999999999,0.504,0.968,0.732,0.6719999999999999,0.0,0.43000000000000005,0.975,0.479,1.0,0.589,0.771,0.773,0.5409999999999999,0.10899999999999999,0.702,1.0,1.0,0.961,1.0,1.0,1.0,1.0,1.0,1.0,0.38,0.989
IL5,1.0,1.0,0.984,0.515,0.997,1.0,0.996,1.0,0.956,1.0,0.626,0.09399999999999997,0.92,0.52,0.34099999999999997,0.43000000000000005,0.0,0.973,0.08499999999999996,1.0,0.252,0.42700000000000005,0.5509999999999999,0.5740000000000001,0.472,0.382,1.0,1.0,0.922,1.0,1.0,1.0,1.0,1.0,1.0,0.06000000000000005,1.0
IL6,0.806,0.942,0.46699999999999997,0.92,0.43000000000000005,0.477,0.6779999999999999,0.817,0.5720000000000001,0.56,0.87,0.973,0.5680000000000001,0.897,0.975,0.975,0.973,0.0,0.974,0.348,0.972,0.919,0.895,0.812,0.97,0.929,0.83,0.956,0.5780000000000001,0.999,0.517,0.399,0.999,0.21899999999999997,0.18999999999999995,0.973,0.5589999999999999
IL7,1.0,1.0,0.984,0.509,0.997,1.0,0.998,1.0,0.955,0.999,0.614,0.031000000000000028,0.921,0.517,0.28700000000000003,0.479,0.08499999999999996,0.974,0.0,1.0,0.20699999999999996,0.393,0.538,0.571,0.511,0.372,1.0,1.0,0.925,1.0,1.0,1.0,1.0,1.0,1.0,0.135,0.999
IL8,0.595,0.737,0.607,0.996,0.5509999999999999,0.42400000000000004,0.769,0.608,0.721,0.641,0.974,1.0,0.73,0.988,1.0,1.0,1.0,0.348,1.0,0.0,1.0,0.997,0.987,0.988,1.0,0.998,0.659,0.819,0.74,0.892,0.31499999999999995,0.505,0.888,0.244,0.26,1.0,0.64
IL9,1.0,1.0,0.984,0.585,0.996,1.0,0.994,1.0,0.952,1.0,0.481,0.18700000000000006,0.91,0.41400000000000003,0.09799999999999998,0.589,0.252,0.972,0.20699999999999996,1.0,0.0,0.263,0.406,0.636,0.683,0.245,1.0,1.0,0.921,1.0,1.0,0.999,1.0,1.0,0.999,0.28400000000000003,1.0
IL10,1.0,1.0,0.92,0.7150000000000001,0.966,0.996,0.973,1.0,0.878,0.987,0.275,0.366,0.8069999999999999,0.278,0.17500000000000004,0.771,0.42700000000000005,0.919,0.393,0.997,0.263,0.0,0.22899999999999998,0.619,0.837,0.10799999999999998,1.0,1.0,0.817,1.0,0.995,0.979,1.0,0.988,0.987,0.469,0.987
IL12-P40,1.0,1.0,0.855,0.685,0.909,0.979,0.83,1.0,0.767,0.931,0.10699999999999998,0.523,0.7090000000000001,0.07899999999999996,0.32599999999999996,0.773,0.5509999999999999,0.895,0.538,0.987,0.406,0.22899999999999998,0.0,0.544,0.848,0.20799999999999996,0.999,1.0,0.71,1.0,0.982,0.931,1.0,0.969,0.968,0.563,0.9319999999999999
IL12-P70,0.997,1.0,0.881,0.31399999999999995,0.912,0.974,0.827,0.998,0.8160000000000001,0.832,0.585,0.595,0.821,0.48,0.654,0.5409999999999999,0.5740000000000001,0.812,0.571,0.988,0.636,0.619,0.544,0.0,0.529,0.5740000000000001,1.0,1.0,0.793,1.0,0.971,0.927,1.0,0.957,0.955,0.5700000000000001,0.833
IL13,1.0,1.0,0.998,0.30300000000000005,0.999,1.0,0.976,1.0,0.978,0.983,0.862,0.54,0.978,0.804,0.77,0.10899999999999999,0.472,0.97,0.511,1.0,0.683,0.837,0.848,0.529,0.0,0.777,1.0,1.0,0.967,1.0,1.0,1.0,1.0,1.0,1.0,0.42900000000000005,0.983
IL15,1.0,1.0,0.935,0.64,0.98,0.999,0.973,1.0,0.895,0.991,0.28600000000000003,0.35,0.831,0.20799999999999996,0.18100000000000005,0.702,0.382,0.929,0.372,0.998,0.245,0.10799999999999998,0.20799999999999996,0.5740000000000001,0.777,0.0,1.0,1.0,0.84,1.0,0.997,0.992,1.0,0.996,0.996,0.41600000000000004,0.992
IP10,0.366,0.401,0.923,1.0,0.904,0.61,0.878,0.34199999999999997,0.9359999999999999,0.867,0.998,1.0,0.959,1.0,1.0,1.0,1.0,0.83,1.0,0.659,1.0,1.0,0.999,1.0,1.0,1.0,0.0,0.23099999999999998,0.952,0.395,0.696,0.881,0.385,0.784,0.791,1.0,0.867
MCP1,0.44799999999999995,0.19899999999999995,0.997,1.0,0.988,0.8280000000000001,0.949,0.42200000000000004,0.994,0.954,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.956,1.0,0.819,1.0,1.0,1.0,1.0,1.0,1.0,0.23099999999999998,0.0,1.0,0.17800000000000005,0.842,0.982,0.17500000000000004,0.928,0.937,1.0,0.954
MCP3,0.901,0.991,0.257,0.958,0.30700000000000005,0.5920000000000001,0.44999999999999996,0.907,0.10399999999999998,0.629,0.632,0.92,0.15500000000000003,0.733,0.91,0.961,0.922,0.5780000000000001,0.925,0.74,0.921,0.817,0.71,0.793,0.967,0.84,0.952,1.0,0.0,1.0,0.842,0.354,1.0,0.5760000000000001,0.554,0.923,0.628
MDC,0.492,0.262,1.0,1.0,0.998,0.962,0.973,0.45899999999999996,0.999,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,1.0,0.892,1.0,1.0,1.0,1.0,1.0,1.0,0.395,0.17800000000000005,1.0,0.0,0.9359999999999999,0.998,0.017000000000000015,0.989,0.994,1.0,0.99
MIP1α,0.627,0.726,0.777,0.989,0.7130000000000001,0.5760000000000001,0.594,0.6579999999999999,0.802,0.39,0.977,1.0,0.895,0.981,1.0,1.0,1.0,0.517,1.0,0.31499999999999995,1.0,0.995,0.982,0.971,1.0,0.997,0.696,0.842,0.842,0.9359999999999999,0.0,0.679,0.933,0.44199999999999995,0.45399999999999996,1.0,0.389
MIP1β,0.806,0.964,0.133,0.998,0.04700000000000004,0.356,0.493,0.817,0.32099999999999995,0.5860000000000001,0.885,0.999,0.28600000000000003,0.9359999999999999,0.999,1.0,1.0,0.399,1.0,0.505,0.999,0.979,0.931,0.927,1.0,0.992,0.881,0.982,0.354,0.998,0.679,0.0,0.997,0.29400000000000004,0.268,1.0,0.585
sCD40-L,0.476,0.255,0.999,1.0,0.997,0.952,0.972,0.44199999999999995,0.998,0.988,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,1.0,0.888,1.0,1.0,1.0,1.0,1.0,1.0,0.385,0.17500000000000004,1.0,0.017000000000000015,0.933,0.997,0.0,0.987,0.992,1.0,0.988
TGFα,0.721,0.901,0.402,0.994,0.33699999999999997,0.36,0.665,0.738,0.5569999999999999,0.55,0.951,0.999,0.5449999999999999,0.971,1.0,1.0,1.0,0.21899999999999997,1.0,0.244,1.0,0.988,0.969,0.957,1.0,0.996,0.784,0.928,0.5760000000000001,0.989,0.44199999999999995,0.29400000000000004,0.987,0.0,0.06299999999999994,1.0,0.5489999999999999
TNFα,0.746,0.912,0.379,0.995,0.31299999999999994,0.356,0.65,0.76,0.534,0.5529999999999999,0.947,0.999,0.525,0.968,1.0,1.0,1.0,0.18999999999999995,1.0,0.26,0.999,0.987,0.968,0.955,1.0,0.996,0.791,0.937,0.554,0.994,0.45399999999999996,0.268,0.992,0.06299999999999994,0.0,1.0,0.552
TNFβ,1.0,1.0,0.985,0.493,0.997,1.0,0.993,1.0,0.956,0.998,0.632,0.14,0.924,0.536,0.375,0.38,0.06000000000000005,0.973,0.135,1.0,0.28400000000000003,0.469,0.563,0.5700000000000001,0.42900000000000005,0.41600000000000004,1.0,1.0,0.923,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.998
VEGF,0.833,0.896,0.617,0.945,0.5780000000000001,0.714,0.34299999999999997,0.856,0.562,0.0010000000000000009,0.907,1.0,0.6839999999999999,0.9299999999999999,1.0,0.989,1.0,0.5589999999999999,0.999,0.64,1.0,0.987,0.9319999999999999,0.833,0.983,0.992,0.867,0.954,0.628,0.99,0.389,0.585,0.988,0.5489999999999999,0.552,0.998,0.0
