,TNFα,TNFβ,IFNα2,IFNγ,Eotaxin,GCSF,GM-CSF,GRO,IL1α,IL1β,IL1Ra/Ra2,IL2,IL3,IL4,IL5,IL6,IL7,IL8,IL9,IL10,IL12-P40,IL12-P70,IL13,IL15,IP10,MCP1,MCP3,MDC,MIP1α,MIP1β,sCD40-L,VEGF,FKN,EGF,FGF-2,TGFα,FLT3L
IL2,0.46699999999999997,0.133,0.43700000000000006,0.868,0.919,0.904,0.867,0.965,0.837,0.01200000000000001,0.42400000000000004,0.0,0.128,0.139,0.751,0.9299999999999999,0.5780000000000001,0.928,0.375,0.916,0.028000000000000025,0.45699999999999996,0.133,0.11699999999999999,0.923,0.9299999999999999,0.16300000000000003,0.984,0.898,0.404,0.997,0.868,0.31599999999999995,0.901,0.44099999999999995,0.792,0.887
IL3,0.509,0.19999999999999996,0.471,0.795,0.878,0.893,0.795,0.964,0.743,0.118,0.47,0.128,0.0,0.21399999999999997,0.679,0.922,0.5529999999999999,0.926,0.381,0.902,0.137,0.488,0.19999999999999996,0.21199999999999997,0.908,0.922,0.248,0.976,0.9,0.45699999999999996,0.997,0.7969999999999999,0.378,0.852,0.473,0.721,0.916
IL4,0.581,0.018000000000000016,0.55,0.872,0.922,0.985,0.873,0.974,0.852,0.129,0.5429999999999999,0.139,0.21399999999999997,0.0,0.784,0.988,0.6579999999999999,0.973,0.46699999999999997,0.992,0.119,0.5640000000000001,0.018000000000000016,0.24,0.998,0.988,0.10299999999999998,0.975,0.9359999999999999,0.524,0.987,0.866,0.44499999999999995,0.904,0.556,0.817,0.917
IL5,0.671,0.768,0.5429999999999999,0.238,0.371,0.862,0.245,0.911,0.21799999999999997,0.757,0.673,0.751,0.679,0.784,0.0,0.959,0.30400000000000005,0.981,0.39,0.87,0.761,0.56,0.768,0.735,0.878,0.959,0.787,0.891,0.974,0.653,0.961,0.21599999999999997,0.635,0.351,0.611,0.10499999999999998,0.995
IL6,0.677,0.987,0.849,0.892,0.959,0.17900000000000005,0.884,0.961,0.899,0.933,0.721,0.9299999999999999,0.922,0.988,0.959,0.0,0.921,0.062000000000000055,0.931,0.16500000000000004,0.935,0.837,0.987,0.873,0.16000000000000003,0.0,0.922,0.96,0.125,0.771,0.998,0.92,0.825,0.982,0.817,0.962,0.29600000000000004
IL7,0.471,0.64,0.28700000000000003,0.42900000000000005,0.5840000000000001,0.829,0.42900000000000005,0.91,0.392,0.583,0.46199999999999997,0.5780000000000001,0.5529999999999999,0.6579999999999999,0.30400000000000005,0.921,0.0,0.942,0.393,0.854,0.5920000000000001,0.30300000000000005,0.64,0.542,0.859,0.921,0.651,0.937,0.931,0.41500000000000004,0.951,0.41600000000000004,0.402,0.506,0.36,0.275,0.929
IL8,0.727,0.972,0.863,0.906,0.978,0.241,0.898,0.965,0.92,0.931,0.747,0.928,0.926,0.973,0.981,0.062000000000000055,0.942,0.0,0.943,0.22699999999999998,0.933,0.854,0.972,0.877,0.22199999999999998,0.062000000000000055,0.909,0.971,0.06299999999999994,0.793,0.999,0.933,0.838,0.992,0.83,0.986,0.24
IL9,0.507,0.45399999999999996,0.41200000000000003,0.546,0.6639999999999999,0.853,0.546,0.942,0.515,0.386,0.482,0.375,0.381,0.46699999999999997,0.39,0.931,0.393,0.943,0.0,0.87,0.4,0.44899999999999995,0.45399999999999996,0.395,0.878,0.931,0.473,0.945,0.925,0.46399999999999997,0.989,0.5369999999999999,0.40900000000000003,0.632,0.474,0.44899999999999995,0.943
IL10,0.622,0.991,0.806,0.83,0.898,0.049000000000000044,0.823,0.959,0.8140000000000001,0.922,0.677,0.916,0.902,0.992,0.87,0.16500000000000004,0.854,0.22699999999999998,0.87,0.0,0.928,0.812,0.991,0.851,0.008000000000000007,0.16500000000000004,0.9299999999999999,0.937,0.29000000000000004,0.721,0.999,0.859,0.782,0.929,0.792,0.877,0.43400000000000005
IL12-P40,0.485,0.11499999999999999,0.45999999999999996,0.876,0.921,0.918,0.875,0.964,0.848,0.02200000000000002,0.44199999999999995,0.028000000000000025,0.137,0.119,0.761,0.935,0.5920000000000001,0.933,0.4,0.928,0.0,0.478,0.11499999999999999,0.127,0.935,0.935,0.135,0.983,0.902,0.42300000000000004,0.995,0.875,0.32799999999999996,0.906,0.45699999999999996,0.804,0.883
IL12-P70,0.31200000000000006,0.5529999999999999,0.11299999999999999,0.552,0.721,0.779,0.5529999999999999,0.883,0.5389999999999999,0.46799999999999997,0.29200000000000004,0.45699999999999996,0.488,0.5640000000000001,0.56,0.837,0.30300000000000005,0.854,0.44899999999999995,0.812,0.478,0.0,0.5529999999999999,0.41200000000000003,0.8140000000000001,0.837,0.5369999999999999,0.92,0.829,0.236,0.948,0.556,0.20899999999999996,0.6619999999999999,0.08099999999999996,0.5429999999999999,0.83
IL13,0.571,0.0,0.538,0.865,0.919,0.983,0.866,0.978,0.839,0.121,0.534,0.133,0.19999999999999996,0.018000000000000016,0.768,0.987,0.64,0.972,0.45399999999999996,0.991,0.11499999999999999,0.5529999999999999,0.0,0.23399999999999999,0.997,0.987,0.09799999999999998,0.981,0.938,0.514,0.994,0.859,0.43500000000000005,0.897,0.5489999999999999,0.802,0.925
IL15,0.391,0.23399999999999999,0.396,0.841,0.9,0.835,0.839,0.957,0.806,0.11499999999999999,0.353,0.11699999999999999,0.21199999999999997,0.24,0.735,0.873,0.542,0.877,0.395,0.851,0.127,0.41200000000000003,0.23399999999999999,0.0,0.858,0.873,0.23099999999999998,0.974,0.849,0.33099999999999996,0.992,0.847,0.247,0.888,0.395,0.771,0.85
IP10,0.623,0.997,0.8089999999999999,0.829,0.899,0.04300000000000004,0.8220000000000001,0.959,0.8140000000000001,0.929,0.6799999999999999,0.923,0.908,0.998,0.878,0.16000000000000003,0.859,0.22199999999999998,0.878,0.008000000000000007,0.935,0.8140000000000001,0.997,0.858,0.0,0.16000000000000003,0.9359999999999999,0.9359999999999999,0.28300000000000003,0.722,0.999,0.857,0.789,0.9319999999999999,0.794,0.881,0.43000000000000005
MCP1,0.677,0.987,0.849,0.892,0.959,0.17900000000000005,0.884,0.961,0.899,0.933,0.721,0.9299999999999999,0.922,0.988,0.959,0.0,0.921,0.062000000000000055,0.931,0.16500000000000004,0.935,0.837,0.987,0.873,0.16000000000000003,0.0,0.922,0.96,0.125,0.771,0.998,0.92,0.825,0.982,0.817,0.962,0.29600000000000004
MCP3,0.548,0.09799999999999998,0.525,0.874,0.933,0.922,0.873,0.969,0.855,0.15700000000000003,0.46499999999999997,0.16300000000000003,0.248,0.10299999999999998,0.787,0.922,0.651,0.909,0.473,0.9299999999999999,0.135,0.5369999999999999,0.09799999999999998,0.23099999999999998,0.9359999999999999,0.922,0.0,0.977,0.874,0.487,0.992,0.873,0.399,0.916,0.507,0.821,0.86
MDC,0.935,0.981,0.9299999999999999,0.894,0.603,0.94,0.897,0.119,0.905,0.986,0.933,0.984,0.976,0.975,0.891,0.96,0.937,0.971,0.945,0.937,0.983,0.92,0.981,0.974,0.9359999999999999,0.96,0.977,0.0,0.959,0.931,0.14200000000000002,0.885,0.9390000000000001,0.6859999999999999,0.903,0.918,0.895
MIP1α,0.7030000000000001,0.938,0.838,0.899,0.974,0.30400000000000005,0.891,0.952,0.919,0.901,0.7130000000000001,0.898,0.9,0.9359999999999999,0.974,0.125,0.931,0.06299999999999994,0.925,0.29000000000000004,0.902,0.829,0.938,0.849,0.28300000000000003,0.125,0.874,0.959,0.0,0.761,0.993,0.924,0.8089999999999999,0.986,0.8,0.981,0.21299999999999997
MIP1β,0.09999999999999998,0.514,0.22199999999999998,0.6859999999999999,0.772,0.6819999999999999,0.6819999999999999,0.904,0.649,0.41300000000000003,0.08699999999999997,0.404,0.45699999999999996,0.524,0.653,0.771,0.41500000000000004,0.793,0.46399999999999997,0.721,0.42300000000000004,0.236,0.514,0.33099999999999996,0.722,0.771,0.487,0.931,0.761,0.0,0.973,0.69,0.14400000000000002,0.762,0.21999999999999997,0.637,0.781
sCD40-L,0.987,0.994,0.96,0.951,0.6859999999999999,0.999,0.952,0.11699999999999999,0.958,0.997,0.977,0.997,0.997,0.987,0.961,0.998,0.951,0.999,0.989,0.999,0.995,0.948,0.994,0.992,0.999,0.998,0.992,0.14200000000000002,0.993,0.973,0.0,0.942,0.975,0.704,0.94,0.9390000000000001,0.928
VEGF,0.7130000000000001,0.859,0.556,0.03500000000000003,0.33099999999999996,0.835,0.04600000000000004,0.896,0.09799999999999998,0.878,0.7070000000000001,0.868,0.7969999999999999,0.866,0.21599999999999997,0.92,0.41600000000000004,0.933,0.5369999999999999,0.859,0.875,0.556,0.859,0.847,0.857,0.92,0.873,0.885,0.924,0.69,0.942,0.0,0.708,0.28500000000000003,0.605,0.16600000000000004,0.989
FKN,0.22899999999999998,0.43500000000000005,0.18600000000000005,0.7030000000000001,0.8009999999999999,0.758,0.704,0.917,0.6679999999999999,0.31999999999999995,0.18600000000000005,0.31599999999999995,0.378,0.44499999999999995,0.635,0.825,0.402,0.838,0.40900000000000003,0.782,0.32799999999999996,0.20899999999999996,0.43500000000000005,0.247,0.789,0.825,0.399,0.9390000000000001,0.8089999999999999,0.14400000000000002,0.975,0.708,0.0,0.777,0.17800000000000005,0.654,0.812
EGF,0.79,0.897,0.6619999999999999,0.31999999999999995,0.238,0.92,0.32599999999999996,0.6859999999999999,0.356,0.908,0.785,0.901,0.852,0.904,0.351,0.982,0.506,0.992,0.632,0.929,0.906,0.6619999999999999,0.897,0.888,0.9319999999999999,0.982,0.916,0.6859999999999999,0.986,0.762,0.704,0.28500000000000003,0.777,0.0,0.704,0.30400000000000005,0.987
FGF-2,0.30900000000000005,0.5489999999999999,0.15000000000000002,0.599,0.761,0.759,0.599,0.872,0.595,0.45299999999999996,0.252,0.44099999999999995,0.473,0.556,0.611,0.817,0.36,0.83,0.474,0.792,0.45699999999999996,0.08099999999999996,0.5489999999999999,0.395,0.794,0.817,0.507,0.903,0.8,0.21999999999999997,0.94,0.605,0.17800000000000005,0.704,0.0,0.606,0.7969999999999999
TGFα,0.665,0.802,0.528,0.18999999999999995,0.373,0.858,0.19799999999999995,0.912,0.16200000000000003,0.7989999999999999,0.671,0.792,0.721,0.817,0.10499999999999998,0.962,0.275,0.986,0.44899999999999995,0.877,0.804,0.5429999999999999,0.802,0.771,0.881,0.962,0.821,0.918,0.981,0.637,0.9390000000000001,0.16600000000000004,0.654,0.30400000000000005,0.606,0.0,1.0
FLT3L,0.741,0.925,0.852,0.98,0.989,0.46399999999999997,0.973,0.891,0.998,0.887,0.751,0.887,0.916,0.917,0.995,0.29600000000000004,0.929,0.24,0.943,0.43400000000000005,0.883,0.83,0.925,0.85,0.43000000000000005,0.29600000000000004,0.86,0.895,0.21299999999999997,0.781,0.928,0.989,0.812,0.987,0.7969999999999999,1.0,0.0
